problems,purpose
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 2}","Cierpliwość, spokój, dystans, właściwe reagowanie. "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 4, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 2}","Mniej krzyków, więcej uważności i cierpliwości, spokojne rozmowy z dziećmi zamiast podniesionego tonu, lepsza organizacja czasu która pozwoli unikać pospiechu"
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}",Chciałabym przestać reagować podniesionym głosem na zachowanie dziecka. Wykazywać się większym zrozumieniem i cierpliwością w stosunku do niego.
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Frustracja"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Mniej krzyczeć, być bardziej wyrozumiała dla dzieci. Nie denerwować się od razu tylko dobrze reagować "
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}",Uspokoić się
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}",Być bardziej cierpliwa i nie krzycząc. Więcej spędzać czas z dzieckiem
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 5, ""Problemy ze snem"": 2}",Być spokojniejszą i cierpliwszą dla dzieci
"{""Brak cierpliwo\u015bci"": 3, ""Przebod\u017acowanie"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Poczucie winy"": 5, ""Po\u015bpiech"": 3, ""Stres"": 2}","Mniej krzyczeć,  więcej cierpliwości"
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Opanowanie
Mniej krzyku
Wiara w siebie

"
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Nie chcę krzyczeć na swoje dzieci robię to zbyt często z blachych powodów
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5}","Mniej krzyku, stresu, szacunek do siebie i dzieci"
"{""Podnoszenie g\u0142osu / krzyk"": 3}",Bez krzyku
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Frustracja"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}",Chce żeby dzieci bez strachu mogły ze mną rozmawiać a ja chcę ich słuchać
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Frustracja"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 2}","Chcę reagować spokojnie i nauczyć się zdrowej komunikacji ze swoimi dziećmi. Chcę się cieszyć ze wspólnych chwil, a nie żyć w poczuciu winy."
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Przestać krzyczeć, reagować mniej impulsywnie. Stać się opanowaną "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Stres"": 4, ""Przebod\u017acowanie"": 5}","Chciałabym nauczyć sie panować nad nerwami, wybuchami złości i brakiem  cierpliwości.  Odnaleźć w sobie chęci do działania i zabawy. "
"{""Brak cierpliwo\u015bci"": 4, ""Impulsywno\u015b\u0107"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 5}","Reakcje adekwatne do sytuacji - pełne zrozumienia, cierpliwości, miłosci, bez krzyku i z uszanowaniem granic moich i moich dzieci. "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 3, ""Stres"": 3, ""Po\u015bpiech"": 3}","Nie krzyczeć na dzieci, żeby dzieci nie krzyczały, dogadywanie się, harmonia"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Chce po prostu byc spokojnq i nie denerwowac sie tak szybko
"{""Impulsywno\u015b\u0107"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Wybuchy z\u0142o\u015bci"": 4, ""Poczucie winy"": 5, ""Stres"": 5, ""Po\u015bpiech"": 4, ""Przebod\u017acowanie"": 5, ""Problemy ze snem"": 3, ""Frustracja"": 3, ""Brak cierpliwo\u015bci"": 2}",Chciałabym mieć więcej luzu i cierpliwości do moich dzieci. Brakuje mi czasu na tolerowanie ciągłego niesluchania moich próśb
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 2, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 2}",Zmienić reagowanie w trudnych sytuacjach- poprawic relacje z synkiem
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Chciałabym powstrzymać się od wybuchów złości, postawić się w roli tego małego człowieka, który wtedy jest zagubiony i wystraszony. Chciałabym mieć więcej zrozumienia i miłości do dzieci, więcej spokoju w codziennych obowiązkach, względnie stabilną rutynę dnia, poczucie względnej kontroli. Sukcesem będzie dla mnie sytuacja, w której realnie zauważę zmianę zachowania w moich dzieciach - większy spokój i czułość."
"{""Impulsywno\u015b\u0107"": 5, ""Przebod\u017acowanie"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 5}",Wypracować cierpliwość i spokój wewnętrzny
"{""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Poczucie winy"": 5}",Mieć więcej cierpliwości do dzieci i spokojny dom
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 5}",Więcej cierpliwości i umiejętności radzenia sobie z wybuchami złości syna i swoimi.
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}","Chcę być spokojną, czułą, wspierającą i mądrą mamą dla swoich dzieci i jednocześnie zadbać w tym wszystkim o siebie. Znaleźć balans, nauczyć się odpowiednich relacji i zarządzania emocjami, zwłaszcza tymi trudnymi jak złość czy frustracja."
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Zapanować nad złością, stresem, przebodzcowaniem i poczuciem winy"
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Po\u015bpiech"": 4, ""Impulsywno\u015b\u0107"": 4}","1. Większa cierpliwość
2. Opanowanie
3. Brak krzyku
"
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Poczucie winy"": 5, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Mniej krzyku i więcej cierpliwości
"{""Brak cierpliwo\u015bci"": 1, ""Impulsywno\u015b\u0107"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 3}",Stać się bardziej cierpliwą i opanowaną. Przestać krzyczeć na córeczkę.Radzic sobie lepiej w sytuacjach strefowych.
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 2, ""Stres"": 4, ""Poczucie winy"": 2, ""Wybuchy z\u0142o\u015bci"": 4}",Chce dogadywać się z moimi dziećmi.
"{""Poczucie winy"": 5, ""Po\u015bpiech"": 5, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Stres"": 4, ""Frustracja"": 4}",Mniej krzyku.
"{""Brak cierpliwo\u015bci"": 5, ""Impulsywno\u015b\u0107"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Frustracja"": 5, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 5, ""Przebod\u017acowanie"": 5}",Chciałabym przestać krzyczeć i przestać reagować nerwowo.
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Frustracja"": 5, ""Po\u015bpiech"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Stres"": 4}","Chce przestać krzyczeć na dzieci
Chce mniej się denerwować 
Chce więcej cierpliwości "
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Poczucie winy"": 5, ""Impulsywno\u015b\u0107"": 2, ""Wybuchy z\u0142o\u015bci"": 2, ""Stres"": 3}","Chciałabym codziennie znaleźć chwilę dla każdego z moich dzieci, sprawiać by podczas zwykłych codziennych czynności w naszym domu panowała atmosfera sprzyjająca ich rozwojowi, bym po całym dniu potrafiła zorganizować taka wspólna chwilę wyciszenia"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 2, ""Wybuchy z\u0142o\u015bci"": 4}",Spokój i odpowiednie reagowanie
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 2, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Przebod\u017acowanie"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 2}","Chciałabym mniej krzyczeć na dzieci. Mam problem też z tym że starsze bije młodsze i na nim się wyżywa, gdy nie może poradzić sobie z emocjami to odgrywa się na niej. Nie zawsze jest to bicie, czasami zaczyna ją przytulać aż za bardzo. Dodatkowo jestem praktycznie cały czas chociaż z jednym z nim, najczęściej z dwoma, chciałabym też bardziej zadbać o swoja psychikę ale nie wiem jak, nie mam pomysłu, mieszkam też w małej miejscowości i czasami myślę o jakichś zorganizowanych zajęciach razem z dziećmi, np muzykowanie albo prace plastyczne, sensoryka, tylko że nie wiem czy wystarczy mi na to sił, inne zajęcia raczej nie wchodzą w grę, bo dzieci są w wieku 10miesiecy i 2lata i 4 miesiące "
"{""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4}",Przestać reagować zbyt ostro w obliczu kłótni córek
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3}","Chcę mieć wiecej cierpliwości do wszystkich domowników..
Zredukować stres który mi towarzyszy od kilkunastu lat "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Mniej napadów złości, więcej spokoju w sobie, więcej opanowania, równowagi, mniej pośpiechu i mniej stresu."
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Stres"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3}","Więcej spokoju
Lepszy kontakt z dziećmi
Więcej empatii i zrozumienia dla dzieci 
Więcej śmiechu "
"{""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 5, ""Stres"": 5, ""Po\u015bpiech"": 5, ""Przebod\u017acowanie"": 5, ""Problemy ze snem"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Frustracja"": 5, ""Brak cierpliwo\u015bci"": 5, ""Impulsywno\u015b\u0107"": 5}",Spokoj
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Opanować złość, nie wybuchac, nie krzyczeć, słuchać, okazywać zrozumienie. "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 2, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}","Przestać krzyczeć na dziecko. Mieć więcej spokoju w sobie, tak żeby się nie unosić w sytuacjach trudnych."
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Impulsywno\u015b\u0107"": 4}","Nie ograniczyć stres do minimum . Chce bardziej ćwiczyć się z życia . Chce przestać przeklinać , krzyczeć "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 2, ""Poczucie winy"": 2, ""Wybuchy z\u0142o\u015bci"": 2}","Zmniejszenie frustracji i irytacji, cieszenie się tym co mam (a mam wiele) i nienarzekanie, spokojne reagowanie na różne sytuacje, zmniejszenie zmęczenia i rozedrgania emocjonalnego"
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 5, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5}","Inaczej reagować, nie emocjonalnie, nie krzyczeć i nie mieć wybuchów złości"
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 2, ""Wybuchy z\u0142o\u015bci"": 2, ""Poczucie winy"": 4}","Brak krzyku, radzenie sobie z przebodżcowaniem, więcej cierpliwości."
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Więcej cierpliwości, mniej złości, więcej zrozumienia mniej krzyku. Spokój w sobie"
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Chciałabym przestać denerwować się o najmniejsze rzeczy, nie krzyczeć na dzieci i wprowadzić atmosferę spokoju i zrozumienia."
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Być bardziej wyrozumiałą, cierpliwą, ciepłą, empatyczną."
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 2}",Więcej cierpliwości oraz wytrwałości w utrzymywaniu granic i wychowywania dzieci w więzi
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Chce się wyciszyć, móc być lepszą mamą, bardziej cierpliwą i spokojną. Chce być opanowana "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Nie krzyczeć z i być cierpliwa
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 2, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}","Nie podnosić głosu, być oparciem dla dziecka (spokojna i opanowana), gdy dziecko wpada w złość "
"{""Przebod\u017acowanie"": 4, ""Impulsywno\u015b\u0107"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Problemy ze snem"": 3}",Głównie chcę się nauczyć spokojnie reagować na trudne zachowania dziecka
"{""Brak cierpliwo\u015bci"": 3, ""Problemy ze snem"": 4, ""Wybuchy z\u0142o\u015bci"": 3}",Panowanie nad emocjami
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Opanowanie wybuchów złości, więcej cierpliwości, mniej krzyku"
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Po\u015bpiech"": 4, ""Impulsywno\u015b\u0107"": 2}",Wykazywać więcej cierpliwpści względem dzieci
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Cc
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 5, ""Po\u015bpiech"": 3, ""Poczucie winy"": 5, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5}","Pytanie niezrozumiale napisane, więc napisze co chcialabym osiągnąć. Miec przestrzen emocjonalną na przezycia mojego dziecka. Nie zloscic się na jego złość, krzyk, upór, nie robienie tego co ja akurat chce. Widziec moje dziecko zamiast trudnych zwchowan, widziec jego potrzeby,  przezycia i umiec byc przy nim, towarzyszyc mu. Umiec zarządzac potrzebami moimi i jego tak, by nie doprowadzac się na skraj. Odmawiac bez poczucia winy. Szczerze chciec byc przy moim dziecku, interesowac się jego swiatem i zapraszac go wspolnych przestrzeni. Miec spokoj w sobie i pewnosc, ze jestem wystarczająco dobra mama. "
"{""Impulsywno\u015b\u0107"": 1, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 1, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}","Chce potrafić opanować złość, nie chce krzyczeć.  Chce ratować łagodnie.  "
"{""Impulsywno\u015b\u0107"": 3, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 5}","Reagować ze spokojem
"
"{""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Frustracja"": 3, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3}",.
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Być bardziej cierpliwa i wspierająca. Mniej krzyczeć.
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 2, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Frustracja"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 4}","Mniej krzyczeć, mniej wybuchać."
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 4, ""Poczucie winy"": 5, ""Po\u015bpiech"": 5, ""Przebod\u017acowanie"": 5}","Nie chce wybuchać I krzyczeć ani na swojego męża ani na swoje dziecko, nie chce mieć poczucia winy że moja córka jest smutna że podniosłam na nią głos. Chcę moc reagować spokojem na stresujące sytuacje"
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5, ""Impulsywno\u015b\u0107"": 3}",Chce nauczyć się panować nad wybuchami złości i krzyczeniem
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Brak cierpliwo\u015bci"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Impulsywno\u015b\u0107"": 5, ""Frustracja"": 5, ""Problemy ze snem"": 5}",Nie wiem
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Byc cierpliwsza, nie krzyczec, spokojniejsA"
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Byc cierpliwsza, nie krzyczec, spokojniejsA"
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 3, ""Poczucie winy"": 4, ""Po\u015bpiech"": 4, ""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 1, ""Frustracja"": 2}","Przestać krzyczeć, zbudować więź i zaufanie z moim starszym dzieckiem. "
